arabic
بِسْمِ ٱللَّهِ
قَالُوا۟ ٱتَّخَذَ
مَتَٰعٌ فِى
فَإِن تَوَلَّيْتُمْ
فَكَذَّبُوهُ فَنَجَّيْنَٰهُ
قَالَ مُوسَىٰٓ
فَلَمَّآ أَلْقَوْا۟
وَيُحِقُّ ٱللَّهُ
فَمَآ ءَامَنَ
فَقَالُوا۟ عَلَى
وَنَجِّنَا بِرَحْمَتِكَ
ءَآلْـَٰٔنَ وَقَدْ
فَٱلْيَوْمَ نُنَجِّيكَ
وَلَقَدْ بَوَّأْنَا
فَإِن كُنتَ
وَلَا تَكُونَنَّ
وَلَوْ جَآءَتْهُمْ
فَلَوْلَا كَانَتْ
قُلِ ٱنظُرُوا۟
فَهَلْ يَنتَظِرُونَ
وَأَنْ أَقِمْ
أَلَّا تَعْبُدُوٓا۟
وَأَنِ ٱسْتَغْفِرُوا۟
إِلَى ٱللَّهِ
وَلَئِنْ أَخَّرْنَا
وَلَئِنْ أَذَقْنَا
فَلَعَلَّكَ تَارِكٌۢ
فَإِلَّمْ يَسْتَجِيبُوا۟
أُو۟لَٰٓئِكَ لَمْ
مَثَلُ ٱلْفَرِيقَيْنِ
فَقَالَ ٱلْمَلَأُ
وَيَٰقَوْمِ لَآ
وَيَٰقَوْمِ مَن
وَلَآ أَقُولُ
قَالُوا۟ يَٰنُوحُ
وَلَا يَنفَعُكُمْ
وَأُوحِىَ إِلَىٰ
وَٱصْنَعِ ٱلْفُلْكَ
وَيَصْنَعُ ٱلْفُلْكَ
فَسَوْفَ تَعْلَمُونَ
وَقَالَ ٱرْكَبُوا۟
وَهِىَ تَجْرِى
قَالَ سَـَٔاوِىٓ
وَقِيلَ يَٰٓأَرْضُ
وَنَادَىٰ نُوحٌ
قَالَ يَٰنُوحُ
قِيلَ يَٰنُوحُ
تِلْكَ مِنْ
يَٰقَوْمِ لَآ
وَيَٰقَوْمِ ٱسْتَغْفِرُوا۟
قَالُوا۟ يَٰهُودُ
إِن نَّقُولُ
مِن دُونِهِۦ
إِنِّى تَوَكَّلْتُ
وَتِلْكَ عَادٌ
قَالُوا۟ يَٰصَٰلِحُ
وَيَٰقَوْمِ هَٰذِهِۦ
فَعَقَرُوهَا فَقَالَ
وَأَخَذَ ٱلَّذِينَ
وَلَقَدْ جَآءَتْ
فَلَمَّا رَءَآ
وَٱمْرَأَتُهُۥ قَآئِمَةٌ
قَالَتْ يَٰوَيْلَتَىٰٓ
قَالُوٓا۟ أَتَعْجَبِينَ
فَلَمَّا ذَهَبَ
يَٰٓإِبْرَٰهِيمُ أَعْرِضْ
وَجَآءَهُۥ قَوْمُهُۥ
قَالُوا۟ لَقَدْ
قَالَ لَوْ
قَالُوا۟ يَٰلُوطُ
وَيَٰقَوْمِ أَوْفُوا۟
بَقِيَّتُ ٱللَّهِ
وَيَٰقَوْمِ لَا
وَٱسْتَغْفِرُوا۟ رَبَّكُمْ
وَيَٰقَوْمِ ٱعْمَلُوا۟
يَقْدُمُ قَوْمَهُۥ
وَكَذَٰلِكَ أَخْذُ
وَمَا نُؤَخِّرُهُۥٓ
يَوْمَ يَأْتِ
فَلَا تَكُ
وَإِنَّ كُلًّا
فَٱسْتَقِمْ كَمَآ
وَلَا تَرْكَنُوٓا۟
وَأَقِمِ ٱلصَّلَوٰةَ
وَٱصْبِرْ فَإِنَّ
فَلَوْلَا كَانَ
وَكُلًّا نَّقُصُّ
وَقُل لِّلَّذِينَ
وَٱنتَظِرُوٓا۟ إِنَّا
نَحْنُ نَقُصُّ
قَالَ يَٰبُنَىَّ
وَكَذَٰلِكَ يَجْتَبِيكَ
إِذْ قَالُوا۟
ٱقْتُلُوا۟ يُوسُفَ
أَرْسِلْهُ مَعَنَا
قَالُوا۟ لَئِنْ
فَلَمَّا ذَهَبُوا۟
وَجَآءُوٓ أَبَاهُمْ
قَالُوا۟ يَٰٓأَبَانَآ
وَجَآءُو عَلَىٰ
وَجَآءَتْ سَيَّارَةٌ
وَشَرَوْهُ بِثَمَنٍۭ
وَرَٰوَدَتْهُ ٱلَّتِى
وَلَقَدْ هَمَّتْ
وَٱسْتَبَقَا ٱلْبَابَ
يُوسُفُ أَعْرِضْ
وَقَالَ نِسْوَةٌ
فَلَمَّا سَمِعَتْ
قَالَتْ فَذَٰلِكُنَّ
فَٱسْتَجَابَ لَهُۥ
ثُمَّ بَدَا
وَدَخَلَ مَعَهُ
وَٱتَّبَعْتُ مِلَّةَ
مَا تَعْبُدُونَ
وَقَالَ لِلَّذِى
قَالُوٓا۟ أَضْغَٰثُ
يُوسُفُ أَيُّهَا
قَالَ تَزْرَعُونَ
ذَٰلِكَ لِيَعْلَمَ
وَمَآ أُبَرِّئُ
قَالَ ٱجْعَلْنِى
وَكَذَٰلِكَ مَكَّنَّا
وَلَأَجْرُ ٱلْـَٔاخِرَةِ
وَجَآءَ إِخْوَةُ
وَلَمَّا جَهَّزَهُم
قَالُوا۟ سَنُرَٰوِدُ
وَقَالَ لِفِتْيَٰنِهِ
فَلَمَّا رَجَعُوٓا۟
وَلَمَّا فَتَحُوا۟
قَالَ لَنْ
وَقَالَ يَٰبَنِىَّ
فَلَمَّا جَهَّزَهُم
قَالُوا۟ وَأَقْبَلُوا۟
قَالُوا۟ نَفْقِدُ
قَالُوا۟ فَمَا
قَالُوا۟ جَزَٰٓؤُهُۥ
فَبَدَأَ بِأَوْعِيَتِهِمْ
قَالُوٓا۟ إِن
قَالُوا۟ يَٰٓأَيُّهَا
قَالَ مَعَاذَ
فَلَمَّا ٱسْتَيْـَٔسُوا۟
ٱرْجِعُوٓا۟ إِلَىٰٓ
وَسْـَٔلِ ٱلْقَرْيَةَ
وَتَوَلَّىٰ عَنْهُمْ
يَٰبَنِىَّ ٱذْهَبُوا۟
قَالُوٓا۟ أَءِنَّكَ
ٱذْهَبُوا۟ بِقَمِيصِى
وَلَمَّا فَصَلَتِ
فَلَمَّآ أَن
قَالَ سَوْفَ
وَرَفَعَ أَبَوَيْهِ
رَبِّ قَدْ
وَمَآ أَكْثَرُ
وَمَا تَسْـَٔلُهُمْ
وَكَأَيِّن مِّنْ
وَمَا يُؤْمِنُ
أَفَأَمِنُوٓا۟ أَن
قُلْ هَٰذِهِۦ
وَإِن تَعْجَبْ
وَيَسْتَعْجِلُونَكَ بِٱلسَّيِّئَةِ
ٱللَّهُ يَعْلَمُ
سَوَآءٌ مِّنكُم
لَهُۥ مُعَقِّبَٰتٌ
وَيُسَبِّحُ ٱلرَّعْدُ
لَهُۥ دَعْوَةُ
أَنزَلَ مِنَ
لِلَّذِينَ ٱسْتَجَابُوا۟
أَفَمَن يَعْلَمُ
ٱلَّذِينَ يُوفُونَ
وَٱلَّذِينَ يَصِلُونَ
وَٱلَّذِينَ صَبَرُوا۟
سَلَٰمٌ عَلَيْكُم
وَٱلَّذِينَ يَنقُضُونَ
كَذَٰلِكَ أَرْسَلْنَٰكَ
أَفَمَنْ هُوَ
لَّهُمْ عَذَابٌ
وَٱلَّذِينَ ءَاتَيْنَٰهُمُ
يَمْحُوا۟ ٱللَّهُ
وَإِن مَّا
وَقَدْ مَكَرَ
ٱللَّهِ ٱلَّذِى
ٱلَّذِينَ يَسْتَحِبُّونَ
قَالَتْ رُسُلُهُمْ
قَالَتْ لَهُمْ
وَمَا لَنَآ
وَلَنُسْكِنَنَّكُمُ ٱلْأَرْضَ
وَٱسْتَفْتَحُوا۟ وَخَابَ
مِّن وَرَآئِهِۦ
يَتَجَرَّعُهُۥ وَلَا
وَبَرَزُوا۟ لِلَّهِ
وَقَالَ ٱلشَّيْطَٰنُ
وَأُدْخِلَ ٱلَّذِينَ
تُؤْتِىٓ أُكُلَهَا
وَمَثَلُ كَلِمَةٍ
يُثَبِّتُ ٱللَّهُ
قُل لِّعِبَادِىَ
وَءَاتَىٰكُم مِّن
رَبِّ إِنَّهُنَّ
رَّبَّنَآ إِنِّىٓ
رَبِّ ٱجْعَلْنِى
رَبَّنَا ٱغْفِرْ
مُهْطِعِينَ مُقْنِعِى
وَأَنذِرِ ٱلنَّاسَ
وَسَكَنتُمْ فِى
وَقَدْ مَكَرُوا۟
فَلَا تَحْسَبَنَّ
يَوْمَ تُبَدَّلُ
وَتَرَى ٱلْمُجْرِمِينَ
سَرَابِيلُهُم مِّن
لِيَجْزِىَ ٱللَّهُ
هَٰذَا بَلَٰغٌ
رُّبَمَا يَوَدُّ
ذَرْهُمْ يَأْكُلُوا۟
مَّا تَسْبِقُ
وَقَالُوا۟ يَٰٓأَيُّهَا
لَّوْ مَا
مَا نُنَزِّلُ
كَذَٰلِكَ نَسْلُكُهُۥ
وَلَوْ فَتَحْنَا
لَقَالُوٓا۟ إِنَّمَا
وَلَقَدْ جَعَلْنَا
وَحَفِظْنَٰهَا مِن
وَجَعَلْنَا لَكُمْ
وَأَرْسَلْنَا ٱلرِّيَٰحَ
وَلَقَدْ عَلِمْنَا
وَٱلْجَآنَّ خَلَقْنَٰهُ
قَالَ لَمْ
وَإِنَّ جَهَنَّمَ
لَهَا سَبْعَةُ
لَا يَمَسُّهُمْ
نَبِّئْ عِبَادِىٓ
وَأَنَّ عَذَابِى
وَنَبِّئْهُمْ عَن
قَالَ أَبَشَّرْتُمُونِى
قَالُوا۟ بَشَّرْنَٰكَ
قَالَ وَمَن
إِلَّآ ءَالَ
إِلَّا ٱمْرَأَتَهُۥ
قَالَ إِنَّكُمْ
وَأَتَيْنَٰكَ بِٱلْحَقِّ
فَأَسْرِ بِأَهْلِكَ
وَقَضَيْنَآ إِلَيْهِ
وَجَآءَ أَهْلُ
وَٱتَّقُوا۟ ٱللَّهَ
قَالَ هَٰٓؤُلَآءِ
لَعَمْرُكَ إِنَّهُمْ
فَجَعَلْنَا عَٰلِيَهَا
وَإِنَّهَا لَبِسَبِيلٍ
وَءَاتَيْنَٰهُمْ ءَايَٰتِنَا
وَكَانُوا۟ يَنْحِتُونَ
فَمَآ أَغْنَىٰ
وَلَقَدْ ءَاتَيْنَٰكَ
لَا تَمُدَّنَّ
وَقُلْ إِنِّىٓ
كَمَآ أَنزَلْنَا
ٱلَّذِينَ جَعَلُوا۟
فَوَرَبِّكَ لَنَسْـَٔلَنَّهُمْ
عَمَّا كَانُوا۟
فَٱصْدَعْ بِمَا
إِنَّا كَفَيْنَٰكَ
ٱلَّذِينَ يَجْعَلُونَ
وَٱعْبُدْ رَبَّكَ
يُنَزِّلُ ٱلْمَلَٰٓئِكَةَ
وَٱلْأَنْعَٰمَ خَلَقَهَا
وَتَحْمِلُ أَثْقَالَكُمْ
وَٱلْخَيْلَ وَٱلْبِغَالَ
وَعَلَى ٱللَّهِ
يُنۢبِتُ لَكُم
وَمَا ذَرَأَ
وَأَلْقَىٰ فِى
وَعَلَٰمَٰتٍ وَبِٱلنَّجْمِ
أَفَمَن يَخْلُقُ
وَإِن تَعُدُّوا۟
وَٱللَّهُ يَعْلَمُ
وَٱلَّذِينَ يَدْعُونَ
أَمْوَٰتٌ غَيْرُ
إِلَٰهُكُمْ إِلَٰهٌ
لِيَحْمِلُوٓا۟ أَوْزَارَهُمْ
قَدْ مَكَرَ
ثُمَّ يَوْمَ
فَٱدْخُلُوٓا۟ أَبْوَٰبَ
وَقِيلَ لِلَّذِينَ
وَلَقَدْ بَعَثْنَا
إِن تَحْرِصْ
لِيُبَيِّنَ لَهُمُ
إِنَّمَا قَوْلُنَا
بِٱلْبَيِّنَٰتِ وَٱلزُّبُرِ
أَفَأَمِنَ ٱلَّذِينَ
يَخَافُونَ رَبَّهُم
وَقَالَ ٱللَّهُ
وَمَا بِكُم
وَيَجْعَلُونَ لِمَا
يَتَوَٰرَىٰ مِنَ
لِلَّذِينَ لَا
تَٱللَّهِ لَقَدْ
وَٱللَّهُ أَنزَلَ
وَمِن ثَمَرَٰتِ
وَأَوْحَىٰ رَبُّكَ
ثُمَّ كُلِى
وَٱللَّهُ فَضَّلَ
فَلَا تَضْرِبُوا۟
وَٱللَّهُ أَخْرَجَكُم
يَعْرِفُونَ نِعْمَتَ
وَأَلْقَوْا۟ إِلَى
وَأَوْفُوا۟ بِعَهْدِ
وَلَا تَتَّخِذُوٓا۟
وَلَا تَشْتَرُوا۟
مَا عِندَكُمْ
فَإِذَا قَرَأْتَ
إِنَّهُۥ لَيْسَ
إِنَّمَا سُلْطَٰنُهُۥ
وَإِذَا بَدَّلْنَآ
قُلْ نَزَّلَهُۥ
إِنَّمَا يَفْتَرِى
يَوْمَ تَأْتِى
وَلَقَدْ جَآءَهُمْ
شَاكِرًا لِّأَنْعُمِهِ
وَءَاتَيْنَٰهُ فِى
ثُمَّ أَوْحَيْنَآ
إِنَّمَا جُعِلَ
ٱدْعُ إِلَىٰ
وَإِنْ عَاقَبْتُمْ
وَٱصْبِرْ وَمَا
وَءَاتَيْنَا مُوسَى
ذُرِّيَّةَ مَنْ
وَقَضَيْنَآ إِلَىٰ
فَإِذَا جَآءَ
ثُمَّ رَدَدْنَا
إِنْ أَحْسَنتُمْ
عَسَىٰ رَبُّكُمْ
وَأَنَّ ٱلَّذِينَ
وَيَدْعُ ٱلْإِنسَٰنُ
وَكُلَّ إِنسَٰنٍ
ٱقْرَأْ كِتَٰبَكَ
مَّنِ ٱهْتَدَىٰ
وَإِذَآ أَرَدْنَآ
وَمَنْ أَرَادَ
كُلًّا نُّمِدُّ
لَّا تَجْعَلْ
وَقَضَىٰ رَبُّكَ
وَٱخْفِضْ لَهُمَا
وَءَاتِ ذَا
إِنَّ ٱلْمُبَذِّرِينَ
وَإِمَّا تُعْرِضَنَّ
وَلَا تَجْعَلْ
وَلَا تَقْتُلُوٓا۟
وَلَا تَقْتُلُوا۟
وَأَوْفُوا۟ ٱلْكَيْلَ
وَلَا تَقْفُ
وَلَا تَمْشِ
كُلُّ ذَٰلِكَ
ذَٰلِكَ مِمَّآ
أَفَأَصْفَىٰكُمْ رَبُّكُم
سُبْحَٰنَهُۥ وَتَعَٰلَىٰ
تُسَبِّحُ لَهُ
وَإِذَا قَرَأْتَ
وَجَعَلْنَا عَلَىٰ
قُلْ كُونُوا۟
أَوْ خَلْقًا
يَوْمَ يَدْعُوكُمْ
وَقُل لِّعِبَادِى
وَرَبُّكَ أَعْلَمُ
وَمَا مَنَعَنَآ
قَالَ أَرَءَيْتَكَ
قَالَ ٱذْهَبْ
وَٱسْتَفْزِزْ مَنِ
رَّبُّكُمُ ٱلَّذِى
وَإِذَا مَسَّكُمُ
أَفَأَمِنتُمْ أَن
أَمْ أَمِنتُمْ
وَلَقَدْ كَرَّمْنَا
يَوْمَ نَدْعُوا۟
وَمَن كَانَ
إِذًا لَّأَذَقْنَٰكَ
سُنَّةَ مَن
أَقِمِ ٱلصَّلَوٰةَ
وَقُلْ جَآءَ
وَنُنَزِّلُ مِنَ
وَلَئِن شِئْنَا
قُل لَّئِنِ
أَوْ تَكُونَ
أَوْ تُسْقِطَ
أَوْ يَكُونَ
ذَٰلِكَ جَزَآؤُهُم
فَأَرَادَ أَن
وَقُلْنَا مِنۢ
وَبِٱلْحَقِّ أَنزَلْنَٰهُ
وَقُرْءَانًا فَرَقْنَٰهُ
قُلْ ءَامِنُوا۟
وَيَقُولُونَ سُبْحَٰنَ
وَيَخِرُّونَ لِلْأَذْقَانِ
قَيِّمًا لِّيُنذِرَ
مَّٰكِثِينَ فِيهِ
وَيُنذِرَ ٱلَّذِينَ
مَّا لَهُم
فَلَعَلَّكَ بَٰخِعٌ
وَإِنَّا لَجَٰعِلُونَ
أَمْ حَسِبْتَ
إِذْ أَوَى
فَضَرَبْنَا عَلَىٰٓ
ثُمَّ بَعَثْنَٰهُمْ
نَّحْنُ نَقُصُّ
وَرَبَطْنَا عَلَىٰ
هَٰٓؤُلَآءِ قَوْمُنَا
وَإِذِ ٱعْتَزَلْتُمُوهُمْ
وَتَرَى ٱلشَّمْسَ
وَتَحْسَبُهُمْ أَيْقَاظًا
وَكَذَٰلِكَ بَعَثْنَٰهُمْ
إِنَّهُمْ إِن
وَكَذَٰلِكَ أَعْثَرْنَا
سَيَقُولُونَ ثَلَٰثَةٌ
وَلَا تَقُولَنَّ
إِلَّآ أَن
وَلَبِثُوا۟ فِى
وَٱتْلُ مَآ
وَٱصْبِرْ نَفْسَكَ
وَقُلِ ٱلْحَقُّ
كِلْتَا ٱلْجَنَّتَيْنِ
وَكَانَ لَهُۥ
وَدَخَلَ جَنَّتَهُۥ
وَمَآ أَظُنُّ
لَّٰكِنَّا۠ هُوَ
فَعَسَىٰ رَبِّىٓ
أَوْ يُصْبِحَ
وَأُحِيطَ بِثَمَرِهِۦ
وَلَمْ تَكُن
هُنَالِكَ ٱلْوَلَٰيَةُ
ٱلْمَالُ وَٱلْبَنُونَ
وَيَوْمَ نُسَيِّرُ
وَعُرِضُوا۟ عَلَىٰ
وَوُضِعَ ٱلْكِتَٰبُ
مَّآ أَشْهَدتُّهُمْ
وَيَوْمَ يَقُولُ
وَرَءَا ٱلْمُجْرِمُونَ
وَرَبُّكَ ٱلْغَفُورُ
وَتِلْكَ ٱلْقُرَىٰٓ
فَلَمَّا بَلَغَا
فَلَمَّا جَاوَزَا
قَالَ أَرَءَيْتَ
فَوَجَدَا عَبْدًا
وَكَيْفَ تَصْبِرُ
قَالَ سَتَجِدُنِىٓ
قَالَ فَإِنِ
أَمَّا ٱلسَّفِينَةُ
وَأَمَّا ٱلْغُلَٰمُ
فَأَرَدْنَآ أَن
وَأَمَّا ٱلْجِدَارُ
وَيَسْـَٔلُونَكَ عَن
إِنَّا مَكَّنَّا
فَأَتْبَعَ سَبَبًا
قَالَ أَمَّا
كَذَٰلِكَ وَقَدْ
قَالُوا۟ يَٰذَا
ءَاتُونِى زُبَرَ
فَمَا ٱسْطَٰعُوٓا۟
وَتَرَكْنَا بَعْضَهُمْ
وَعَرَضْنَا جَهَنَّمَ
ٱلَّذِينَ كَانَتْ
أَفَحَسِبَ ٱلَّذِينَ
ٱلَّذِينَ ضَلَّ
ذَٰلِكَ جَزَآؤُهُمْ
ذِكْرُ رَحْمَتِ
إِذْ نَادَىٰ
وَإِنِّى خِفْتُ
يَرِثُنِى وَيَرِثُ
يَٰزَكَرِيَّآ إِنَّا
يَٰيَحْيَىٰ خُذِ
وَحَنَانًا مِّن
وَبَرًّۢا بِوَٰلِدَيْهِ
وَسَلَٰمٌ عَلَيْهِ
فَٱتَّخَذَتْ مِن
قَالَتْ إِنِّىٓ
قَالَتْ أَنَّىٰ
قَالَ كَذَٰلِكِ
فَحَمَلَتْهُ فَٱنتَبَذَتْ
فَأَجَآءَهَا ٱلْمَخَاضُ
فَنَادَىٰهَا مِن
وَهُزِّىٓ إِلَيْكِ
فَكُلِى وَٱشْرَبِى
فَأَتَتْ بِهِۦ
يَٰٓأُخْتَ هَٰرُونَ
فَأَشَارَتْ إِلَيْهِ
وَجَعَلَنِى مُبَارَكًا
وَبَرًّۢا بِوَٰلِدَتِى
وَٱلسَّلَٰمُ عَلَىَّ
ذَٰلِكَ عِيسَى
وَإِنَّ ٱللَّهَ
أَسْمِعْ بِهِمْ
يَٰٓأَبَتِ إِنِّى
يَٰٓأَبَتِ لَا
يَٰٓأَبَتِ إِنِّىٓ
قَالَ أَرَاغِبٌ
قَالَ سَلَٰمٌ
وَأَعْتَزِلُكُمْ وَمَا
فَلَمَّا ٱعْتَزَلَهُمْ
وَوَهَبْنَا لَهُم
وَنَٰدَيْنَٰهُ مِن
وَوَهَبْنَا لَهُۥ
وَكَانَ يَأْمُرُ
وَرَفَعْنَٰهُ مَكَانًا
تِلْكَ ٱلْجَنَّةُ
وَمَا نَتَنَزَّلُ
وَيَقُولُ ٱلْإِنسَٰنُ
أَوَلَا يَذْكُرُ
فَوَرَبِّكَ لَنَحْشُرَنَّهُمْ
ثُمَّ لَنَنزِعَنَّ
ثُمَّ لَنَحْنُ
وَإِن مِّنكُمْ
وَيَزِيدُ ٱللَّهُ
أَطَّلَعَ ٱلْغَيْبَ
كَلَّا سَنَكْتُبُ
وَنَرِثُهُۥ مَا
كَلَّا سَيَكْفُرُونَ
فَلَا تَعْجَلْ
يَوْمَ نَحْشُرُ
وَنَسُوقُ ٱلْمُجْرِمِينَ
لَّا يَمْلِكُونَ
لَّقَدْ جِئْتُمْ
أَن دَعَوْا۟
لَّقَدْ أَحْصَىٰهُمْ
وَكُلُّهُمْ ءَاتِيهِ
مَآ أَنزَلْنَا
إِلَّا تَذْكِرَةً
تَنزِيلًا مِّمَّنْ
ٱلرَّحْمَٰنُ عَلَى
وَإِن تَجْهَرْ
إِذْ رَءَا
إِنِّىٓ أَنَا۠
وَأَنَا ٱخْتَرْتُكَ
إِنَّنِىٓ أَنَا
فَلَا يَصُدَّنَّكَ
وَمَا تِلْكَ
قَالَ أَلْقِهَا
فَأَلْقَىٰهَا فَإِذَا
قَالَ خُذْهَا
وَٱضْمُمْ يَدَكَ
لِنُرِيَكَ مِنْ
وَيَسِّرْ لِىٓ
وَٱحْلُلْ عُقْدَةً
يَفْقَهُوا۟ قَوْلِى
هَٰرُونَ أَخِى
ٱشْدُدْ بِهِۦٓ
وَأَشْرِكْهُ فِىٓ
كَىْ نُسَبِّحَكَ
وَنَذْكُرَكَ كَثِيرًا
إِنَّكَ كُنتَ
إِذْ أَوْحَيْنَآ
أَنِ ٱقْذِفِيهِ
إِذْ تَمْشِىٓ
وَٱصْطَنَعْتُكَ لِنَفْسِى
ٱذْهَبْ أَنتَ
ٱذْهَبَآ إِلَىٰ
فَقُولَا لَهُۥ
قَالَا رَبَّنَآ
فَأْتِيَاهُ فَقُولَآ
إِنَّا قَدْ
قَالَ فَمَن
قَالَ رَبُّنَا
قَالَ عِلْمُهَا
كُلُوا۟ وَٱرْعَوْا۟
مِنْهَا خَلَقْنَٰكُمْ
وَلَقَدْ أَرَيْنَٰهُ
قَالَ أَجِئْتَنَا
فَلَنَأْتِيَنَّكَ بِسِحْرٍ
قَالَ مَوْعِدُكُمْ
فَتَوَلَّىٰ فِرْعَوْنُ
فَتَنَٰزَعُوٓا۟ أَمْرَهُم
قَالُوٓا۟ إِنْ
فَأَجْمِعُوا۟ كَيْدَكُمْ
فَأَوْجَسَ فِى
قُلْنَا لَا
وَأَلْقِ مَا
إِنَّآ ءَامَنَّا
إِنَّهُۥ مَن
وَمَن يَأْتِهِۦ
وَلَقَدْ أَوْحَيْنَآ
فَأَتْبَعَهُمْ فِرْعَوْنُ
وَأَضَلَّ فِرْعَوْنُ
كُلُوا۟ مِن
وَإِنِّى لَغَفَّارٌ
وَمَآ أَعْجَلَكَ
قَالَ هُمْ
قَالَ فَإِنَّا
فَرَجَعَ مُوسَىٰٓ
فَأَخْرَجَ لَهُمْ
أَفَلَا يَرَوْنَ
وَلَقَدْ قَالَ
قَالَ يَٰهَٰرُونُ
أَلَّا تَتَّبِعَنِ
قَالَ يَبْنَؤُمَّ
قَالَ بَصُرْتُ
قَالَ فَٱذْهَبْ
إِنَّمَآ إِلَٰهُكُمُ
كَذَٰلِكَ نَقُصُّ
مَّنْ أَعْرَضَ
خَٰلِدِينَ فِيهِ
يَتَخَٰفَتُونَ بَيْنَهُمْ
فَيَذَرُهَا قَاعًا
لَّا تَرَىٰ
يَوْمَئِذٍ يَتَّبِعُونَ
يَوْمَئِذٍ لَّا
وَعَنَتِ ٱلْوُجُوهُ
وَلَقَدْ عَهِدْنَآ
فَقُلْنَا يَٰٓـَٔادَمُ
وَأَنَّكَ لَا
فَوَسْوَسَ إِلَيْهِ
فَأَكَلَا مِنْهَا
ثُمَّ ٱجْتَبَٰهُ
قَالَ ٱهْبِطَا
وَمَنْ أَعْرَضَ
وَكَذَٰلِكَ نَجْزِى
أَفَلَمْ يَهْدِ
وَلَوْلَا كَلِمَةٌ
وَلَا تَمُدَّنَّ
وَأْمُرْ أَهْلَكَ
وَلَوْ أَنَّآ
مَا يَأْتِيهِم
لَاهِيَةً قُلُوبُهُمْ
قَالَ رَبِّى
مَآ ءَامَنَتْ
وَمَا جَعَلْنَٰهُمْ
ثُمَّ صَدَقْنَٰهُمُ
لَقَدْ أَنزَلْنَآ
وَكَمْ قَصَمْنَا
فَلَمَّآ أَحَسُّوا۟
لَا تَرْكُضُوا۟
فَمَا زَالَت
لَوْ أَرَدْنَآ
بَلْ نَقْذِفُ
يُسَبِّحُونَ ٱلَّيْلَ
أَمِ ٱتَّخَذُوٓا۟
لَا يُسْـَٔلُ
لَا يَسْبِقُونَهُۥ
وَمَن يَقُلْ
وَجَعَلْنَا فِى
وَجَعَلْنَا ٱلسَّمَآءَ
وَمَا جَعَلْنَا
وَإِذَا رَءَاكَ
خُلِقَ ٱلْإِنسَٰنُ
لَوْ يَعْلَمُ
بَلْ تَأْتِيهِم
بَلْ مَتَّعْنَا
وَلَئِن مَّسَّتْهُمْ
وَنَضَعُ ٱلْمَوَٰزِينَ
ٱلَّذِينَ يَخْشَوْنَ
وَهَٰذَا ذِكْرٌ
وَلَقَدْ ءَاتَيْنَآ
قَالُوا۟ وَجَدْنَآ
قَالَ بَل
وَتَٱللَّهِ لَأَكِيدَنَّ
فَجَعَلَهُمْ جُذَٰذًا
قَالُوا۟ مَن
قَالُوا۟ سَمِعْنَا
قَالُوا۟ فَأْتُوا۟
قَالُوٓا۟ ءَأَنتَ
فَرَجَعُوٓا۟ إِلَىٰٓ
ثُمَّ نُكِسُوا۟
قَالَ أَفَتَعْبُدُونَ
أُفٍّ لَّكُمْ
قَالُوا۟ حَرِّقُوهُ
قُلْنَا يَٰنَارُ
وَأَرَادُوا۟ بِهِۦ
وَنَجَّيْنَٰهُ وَلُوطًا
وَلُوطًا ءَاتَيْنَٰهُ
وَأَدْخَلْنَٰهُ فِى
وَنُوحًا إِذْ
وَنَصَرْنَٰهُ مِنَ
وَدَاوُۥدَ وَسُلَيْمَٰنَ
فَفَهَّمْنَٰهَا سُلَيْمَٰنَ
وَعَلَّمْنَٰهُ صَنْعَةَ
وَمِنَ ٱلشَّيَٰطِينِ
وَأَيُّوبَ إِذْ
وَإِسْمَٰعِيلَ وَإِدْرِيسَ
وَأَدْخَلْنَٰهُمْ فِى
وَذَا ٱلنُّونِ
وَزَكَرِيَّآ إِذْ
وَٱلَّتِىٓ أَحْصَنَتْ
إِنَّ هَٰذِهِۦٓ
وَتَقَطَّعُوٓا۟ أَمْرَهُم
وَحَرَٰمٌ عَلَىٰ
وَٱقْتَرَبَ ٱلْوَعْدُ
إِنَّكُمْ وَمَا
لَا يَحْزُنُهُمُ
يَوْمَ نَطْوِى
وَلَقَدْ كَتَبْنَا
إِنَّهُۥ يَعْلَمُ
وَإِنْ أَدْرِى
قَٰلَ رَبِّ
يَوْمَ تَرَوْنَهَا
كُتِبَ عَلَيْهِ
وَأَنَّ ٱلسَّاعَةَ
ثَانِىَ عِطْفِهِۦ
يَدْعُوا۟ مِن
يَدْعُوا۟ لَمَن
هَٰذَانِ خَصْمَانِ
يُصْهَرُ بِهِۦ
وَلَهُم مَّقَٰمِعُ
كُلَّمَآ أَرَادُوٓا۟
وَهُدُوٓا۟ إِلَى
وَإِذْ بَوَّأْنَا
وَأَذِّن فِى
لِّيَشْهَدُوا۟ مَنَٰفِعَ
ثُمَّ لْيَقْضُوا۟
حُنَفَآءَ لِلَّهِ
وَٱلْبُدْنَ جَعَلْنَٰهَا
لَن يَنَالَ
أُذِنَ لِلَّذِينَ
ٱلَّذِينَ أُخْرِجُوا۟
ٱلَّذِينَ إِن
وَقَوْمُ إِبْرَٰهِيمَ
وَأَصْحَٰبُ مَدْيَنَ
فَكَأَيِّن مِّن
فَٱلَّذِينَ ءَامَنُوا۟
وَٱلَّذِينَ سَعَوْا۟
لِّيَجْعَلَ مَا
وَلَا يَزَالُ
لَيُدْخِلَنَّهُم مُّدْخَلًا
ذَٰلِكَ وَمَنْ
